TTDDRUGID	LNM	Indication	ICD9	ICD10
DIB006393	SBIM therapeutics	Huntington's disease	294.1, 333.4	F02.2, G10
DIB006394	CTA-091	Hyperparathyroidism	252.02, 588.81	E21.1
DIB006395	CI-966	Convulsions	780.3	R56.0
DIB006396	Anti-BCR mAbs	Non-Hodgkin's lymphoma	200, 202, 202.8	C81-C96, C82-C85
DIB006397	BF/PC-21	Inflammatory diseases	140-229, 147, 173, 573.3, 710-719	C00-C96, C11, C44, K75.9, M00-M25
DIB006398	Cipatinib	Cancer	140-229	C00-C96
DIB006399	KI-0901	Cancer	140-229	C00-C96
DIB006400	RTU-007	Diabetic cataract	.	E10.36,E11.36
DIB006401	AMT-070	Liver cirrhosis	.	K70.3,K71.7,K74
DIB006402	AK-2	Viral infections	054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053	B01, B02, A60, B00, B27, G05.1, P35.2
DIB006404	Cidofovir prodrugs	Viral infections	054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053	B01, B02, A60, B00, B27, G05.1, P35.2
DIB006405	Priorix-Tetra	Varicella zoster virus infections	001-139, 042-075, 052, 053	B01, B02, A00-B99, A80-A99, B00-B34
DIB006406	99mTc-biciromab	Thromboembolism	437.6, 453, 671.5, 671.9	I80-I82
DIB006407	Belladonna	Colitis	556.9	K50-K52
DIB006408	CKD-10101	Cancer	140-229	C00-C96
DIB006412	AA-10022	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DIB006413	VaxiFlu-S	Influenza virus infections	487, 488	J10, J11
DIB006415	AP-214	Candidiasis infection	001-139, 112	A00-B99, B37
DIB006417	BW-42	Breast cancer	174, 175, 217	C50, D24
DIB006418	SR-80027A	Thromboembolism	437.6, 453, 671.5, 671.9	I80-I82
DIB006420	ELB-WE-007	Central nervous system disease	.	G00-G99
DIB006422	MK2 inhibitors	Autoimmune diseases	279	D84.9, M35.9
DIB006423	EGFR antisense DNA	Head and neck cancer	140-149, 140-229	C00-C96, C07-C14, C32-C33
DIB006425	Rilmenidine	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DIB006427	NTP-6009	Central nervous system disease	.	G00-G99
DIB006428	HP-05	Fatigue	.	R53
DIB006430	SRM003	Peripheral vascular disorders	.	I73.9
DIB006431	CK-2127107	Muscular atrophy	728.2	M62.5
DIB006432	KC-399	Alopecia	704.09	L65.9
DIB006433	NRT-100	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DIB006434	MKC-121	Hyperlipidemia	272.0-272.4	E78
DIB006435	99mTc-rBitistatin	Embolism	.	I74,I82
DIB006438	GP-1200	Ulcerative colitis	556	K51
DIB006439	Infusible platelet membrane	Bleeding	444, 453	I74, I80-I82
DIB006440	BK-C-0701	Diabetic neuropathy	250, 250.6, 356.0, 356.8	E08-E13, E10.4, E11.4, E13.4, G64, G90.0
DIB006441	Domitroban	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
DIB006442	DU-29894	Psychotic disorders	290-299	F20-F29
DIB006444	NAA-004	Inflammatory bowel disease	555, 556	K50, K51
DIB006446	BVA-101	Multiple sclerosis	340	G35
DIB006447	AMG-327	Inflammatory diseases	140-229, 147, 173, 573.3, 710-719	C00-C96, C11, C44, K75.9, M00-M25
DIB006448	VEGF/rGel	Diabetic retinopathy	250.5	H36, E10.3, E11.3, E13.3
DIB006449	HJP-272	Premature labour	644, 765	O60.1, P07.3
DIB006451	Radiosensitizer gene therapy	Pancreatic cancer	140-229, 157, 202.8, 203.0, 208.9	C00-C96, C25, C81-C96, C90.0, C91-C95
DIB006452	VDA , HIV-1	HIV-1 infections	001-139, 042	A00-B99, B20
DIB006453	KLS-40	Autoimmune diseases	279	D84.9, M35.9
DIB006454	Verubulin	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DIB006457	ReN-004	Alzheimer's disease	331.0, 331.83	G30, G31.84
DIB006458	LI-301	Premature ejaculation	302.75	F52.4
DIB006460	ZD-7349	Multiple sclerosis	340	G35
DIB006461	BAY-86-9596	Cancer	140-229	C00-C96
DIB006463	FP-253-GDEPT	Prostate cancer	140-229, 185	C00-C96, C61
DIB006466	ER-21041	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DIB006467	BI 695501	Rheumatold arthritis	714	M05-M06
DIB006468	BioBypass	Coronary artery disease	410-414, 429.2	I20-I25
DIB006469	KI-0805	Obesity	278	E66
DIB006471	Vaccine, Yersinia pestis infection	Yersinia infections	20	A20
DIB006472	Recombinant anti-IgE Fabs	Asthma	493	J45
DIB006473	GRT-3983Y	Diabetic neuropathy	250, 250.6, 356.0, 356.8	E08-E13, E10.4, E11.4, E13.4, G64, G90.0
DIB006474	Tralokinumab	Ulcerative colitis	556	K51
DIB006475	NanoDisks	Brain injury	.	S09.90
DIB006476	GSC-1	Hyperglycemia	790.29	R73.9
DIB006477	TriMixDC	Melanoma	172.9	C43
DIB006478	Small molecule 20a	Chikungunya virus infection	001-139, 042-075	A00-B99, A80-A99, B00-B34
DIB006481	FK-962	Alzheimer's disease	331.0, 331.83	G30, G31.84
DIB006482	LpxCi-4	Multidrug resistant infection	.	A00-B99
DIB006484	ADX-10061	Psychotic disorders	290-299	F20-F29
DIB006485	FX-006	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DIB006486	MK-51	Dermatological disease	.	L00-L99
DIB006487	Itriglumide	Anxiety disorder	300, 311	F32, F40-F42
DIB006489	INS365 respiratory	Bronchitis	.	J20-J21,J42
DIB006491	CP-122288	Migraine	346	G43
DIB006492	ICI-169369	Anxiety disorder	300, 311	F32, F40-F42
DIB006493	PEV3A	Malaria	84	B50-B54
DIB006495	IDAZOXAN HYDROCHLORIDE	Neurological disease	338, 338.2, 410, 782.3,780	I21, I22, R52, R52.1-R52.2, R60.9, G89
DIB006496	Meluadrine	Premature ejaculation	302.75	F52.4
DIB006497	PMX-900	Cancer	140-229	C00-C96
DIB006499	Antifibrinolytic agents	Bleeding	444, 453	I74, I80-I82
DIB006501	Fluorofenidone	Fibrosis	709.2	L90.5
DIB006502	DAA-1097	Anxiety disorder	300, 311	F32, F40-F42
DIB006503	ST-05	Spinal disease	.	G95.9
DIB006504	MAb-216	Leukemia	208.9	C91-C95
DIB006505	KC-11425	Asthma	493	J45
DIB006506	Tedalinab	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DIB006507	Pro-Islet	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
DIB006508	PF-4455242	Bipolar disorder	296.0, 296.1, 296.4, 296.5, 296.6, 296.7, 296.8, 300	F31, F40-F42
DIB006510	IPX203	Parkinson's disease	332	F02.3, G20
DIB006511	SRSC-371	Epilepsy	290-319, 345	F01-F99, G40
DIB006512	PARCETASAL	Inflammation	.	E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, R52, G89
DIB006513	CODA-001	Cornea epithelial defects	.	H18.899
DIB006515	BC-3781 intravenous	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DIB006517	Zilascorb (2H)	Cancer	140-229	C00-C96
DIB006519	P45	Alopecia	704.09	L65.9
DIB006521	Kanglaite injection	Cachexia	799.4	R64
DIB006523	Peptide-T	Neurodegenerative diseases	330-337	G30-G32
DIB006524	ADL 10-0101	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DIB006525	SNX-1012	Mucositis	.	K92.81
DIB006526	K-103-PA	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DIB006527	L-163017	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DIB006528	EP4-R antagonist	Osteoarthritis; Pain	338, 715,780	M15-M19, M47, R52, G89
DIB006529	OCFENTANIL	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DIB006532	Juvenon Energy Formula	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
DIB006533	FR-901483	Graft-versus host disease	.	T86.0
DIB006534	Opioid prodrugs	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DIB006535	FR-901469	Fungal infection	110-118	B35-B49
DIB006536	Necuparanib	Pancreatic cancer	140-229, 157, 202.8, 203.0, 208.9	C00-C96, C25, C81-C96, C90.0, C91-C95
DIB006537	CMV-specific STAR fusions	Cytomegalovirus infection	001-139, 078.5	A00-B99, B25
DIB006538	ITX-5061	HIV-1 infections	001-139, 042	A00-B99, B20
DIB006539	MLI-1018	Otitis media	.	H65-H67
DIB006540	CER-227185	Acute myeloid leukemia	205.0, 238.7	C92.0, D46
DIB006542	JD-4000	Inflammatory bowel disease	555, 556	K50, K51
DIB006543	TK-DLI	Graft-versus host disease	.	T86.0
DIB006544	FAS-20013	Mycobacterium tuberculosis infection	.	A15-A19
DIB006546	ET-007	Small-cell lung cancer	162, 202.8, 203.0, 208.9	C33, C34, C81-C96, C90.0, C91-C95
DIB006547	GC-1102	Hepatitis B virus infection	070.2-070.3	B16, B18.0, B18.1
DIB006548	LAMB3-transduced autologous epidermal stem cells	Epidermolysis bullosa	.	Q81
DIB006549	CDD-0097	Alzheimer's disease	331.0, 331.83	G30, G31.84
DIB006550	Bis(olanzapine) pamoate monohydrate	Psychotic disorders	290-299	F20-F29
DIB006551	MIC-31	Gastrointestinal ulcer	.	K28
DIB006552	Trelagliptin Succinate	Non-insulin dependent diabetes	.	E11.9
DIB006553	Adjustable basal insulin	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
DIB006554	PRO-2000	HIV infections	001-139, 042	A00-B99, B20
DIB006555	MGluR5 antagonists (anxiety), Novartis	Anxiety disorder	300, 311	F32, F40-F42
DIB006556	KU-2285	Cancer	140-229	C00-C96
DIB006557	SCH-546909	Cancer	140-229	C00-C96
DIB006558	ONO-4053	Allergic rhinitis	472.0, 477, 995.3	J00, J30, J31.0, T78.4
DIB006560	TYT-1	West Nile virus infection	001-139, 042-075, 066.4	A00-B99, A80-A99, A92.3, B00-B34
DIB006561	PK1	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DIB006562	Cefluprenam	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DIB006563	Tiqueside	Hyperlipidemia	272.0-272.4	E78
DIB006564	GSK-172981	Asthma	493	J45
DIB006565	EDP-22	Glaucoma	365	H40-H42
DIB006566	BMN-111	Achondroplasia	756.4	Q77.4
DIB006567	ON-579	Asthma	493	J45
DIB006568	AC-03-636	Cancer	140-229	C00-C96
DIB006571	TAK-715	Rheumatold arthritis	714	M05-M06
DIB006572	DWJ-425	Rheumatold arthritis	714	M05-M06
DIB006573	JIN-2019	Cancer	140-229	C00-C96
DIB006574	SILTENZEPINE	Stomach disease	.	K30-K31
DIB006575	Autologous VEGF-and angiopoietin-1-expressing endothelial and smooth muscle cell therapy	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
DIB006578	Menadiol sodium diphosphate	Blood clotting disorder	286	D65-D69
DIB006579	Antibiotics	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DIB006580	C4X-301	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
DIB006582	NSI-566	Lateral sclerosis	.	G12.2
DIB006584	CR-3465	Allergy	995.3	T78.4
DIB006585	MD-990	Respiratory disease	.	J00-J99
DIB006587	AZ-628	Cancer	140-229	C00-C96
DIB006588	Muscle wasting protein therapeutics	Muscle wasting disease	.	M62.50?
DIB006589	IPL 550,260	Inflammatory disorders	.	.
DIB006590	NAChR APLs	Alzheimer's disease	331.0, 331.83	G30, G31.84
DIB006591	LPG-1030S	Irritable bowel syndrome	564.1, 787.91	A09, K58, K59.1
DIB006592	9cUAB-30	Cancer	140-229	C00-C96
DIB006593	FAD-104	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DIB006594	LPCN-1087	Cough	786.2	R05
DIB006595	AL-43546	Xerophthalmia	.	E50.6-E50.7
DIB006596	NN-1952	Insulin dependent diabetes	.	E10
DIB006598	EC-145	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DIB006599	DW-953	Dyspepsia	536.8	K30
DIB006600	Esterified estrogens	Breast cancer	174, 175, 217	C50, D24
DIB006601	PFK-158	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DIB006602	RTA-801	Motor neurone disease	335.2	G12.2
DIB006603	PRT-300	Duchenne dystrophy	.	G71.0
DIB006604	VTX-1463	Allergic rhinitis	472.0, 477, 995.3	J00, J30, J31.0, T78.4
DIB006605	Pfs48	Plasmodium falciparum infection	.	B54
DIB006606	EU-C-001	Brain injury	.	S09.90
DIB006607	NLCQ-1	Cancer	140-229	C00-C96
DIB006608	MT-176 lead	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DIB006609	PF-821385	HIV infections	001-139, 042	A00-B99, B20
DIB006612	C5aR pepducins	Inflammatory diseases	140-229, 147, 173, 573.3, 710-719	C00-C96, C11, C44, K75.9, M00-M25
DIB006613	LIM-0723	Toxicity	.	T36-T50,T51-T65
DIB006614	ADE-LAM	Wound healing	.	T14.0-T14.1
DIB006615	ZYT-1	Lipid metabolism disorder	.	E75-E78
DIB006616	NN-414	Diabetes mellitus type 1	250	E10
DIB006618	VM-106	Chronic granulomatous disease	288.1	D71
DIB006620	DW-167	Hepatocellular carcinoma	155	C22.0
DIB006621	UltraGITRL	Cancer	140-229	C00-C96
DIB006622	SynGEM	Respiratory syncytial virus 	001-139, 079.6	A00-B99, B97.4
DIB006623	Hepatitis B immune globulin	Hepatitis B virus infection	070.2-070.3	B16, B18.0, B18.1
DIB006624	STD-07	Constipation	564	K59.0
DIB006625	LP-226A1	Cancer	140-229	C00-C96
DIB006626	QPI-1007	Glaucoma	365	H40-H42
DIB006627	Choline magnesium trisalicylate	Osteoarthritis	715	M15-M19, M47
DIB006628	I.V. carbamazepine	Type 1 diabetes	250, 250.01	E08-E13, E10
DIB006629	Trumenba	Meningitis	320-322	G00-G03
DIB006630	NALTIAZEM HYDROCHLORIDE	Angina	413	I20
DIB006633	NT-1635	Sarcopenia	.	M62.9
DIB006635	Nelfinavir	SARS coronavirus infection	.	J12.81
DIB006637	Liposome Encapsulated Mitoxantrone (LEM)	Cancer	140-229	C00-C96
DIB006639	TETRAPLATIN TETRANITRATE	Cancer	140-229	C00-C96
DIB006640	BAY-50-9062	Osteoporosis	733.0, V07.4	M80-M81, Z79.890
DIB006642	M2del11 H1N1	Influenza virus infections	487, 488	J10, J11
DIB006643	PROXODOLOL	Glaucoma	365	H40-H42
DIB006644	LK-157	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DIB006647	NIC-002	Nicotine dependence	305.1	F17
DIB006649	Invaplex 50	Shigella infections	001-139	A00-B99
DIB006650	Vaccine, Lauriad, influenza	Influenza virus infections	487, 488	J10, J11
DIB006651	CNSB-006	Arthralgia	.	M25.5
DIB006652	KSB-303	Colorectal cancer	153, 154	C18-C21
DIB006653	Eltoprazine	Aggressive non-Hodgkin's lymphoma	200, 201, 202, 202.8, 208.9	C81, C81-C96, C82-C85, C91-C95
DIB006654	CGRP	Asthma	493	J45
DIB006655	Insulin	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
DIB006656	Nell-1 protein therapeutic	Heart injury	.	S26
DIB006657	GRC-15300	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DIB006658	Proenzy	Multiple sclerosis	340	G35
DIB006659	DasKloster 0182-01	Sarcoidosis	135	D86
DIB006660	Opium (class)	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DIB006663	NS-220	Hyperlipidemia	272.0-272.4	E78
DIB006664	NLP-44	Acne vulgaris	706.1	L70.0
DIB006665	S. flexneri type 2a-rEPA Asucc	Shigella infections	001-139	A00-B99
DIB006666	AVN-458	Cognitive disorders	290-294, 294.0, 780.09, 780.9, 780.93	F01-F07, F04, F05, R41.3
DIB006669	4-ethynyl-2-fluoro-deoxyadenosine	HIV-1 infections	001-139, 042	A00-B99, B20
DIB006670	ABT-202	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DIB006671	R-1458	Non-insulin dependent diabetes	.	E11.9
DIB006672	ACT-0932	Glioma	140-199, 183, 191, 210-229	C00-C75, C56, C71, C7A, C7B, D10-D36, D3A
DIB006673	A-003	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
DIB006674	TDI-0055	Motor neurone disease	335.2	G12.2
DIB006675	Cefatrizine	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DIB006676	Hib-MenCY-TT vaccine	Meningitis	320-322	G00-G03
DIB006677	Calcitriol	Congenital alopecia	.	Q84.0
DIB006680	PEG-naloxol	Opioid-induced constipation	564	K59.0
DIB006681	NKP 608	Mood disorder	.	F30-F39
DIB006684	ECFCs	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
DIB006686	Insulin long-acting iv	Type 2 diabetes	250.00, 250.02	E11
DIB006687	NXT-1021	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DIB006688	Maclizumab	Inflammatory diseases	140-229, 147, 173, 573.3, 710-719	C00-C96, C11, C44, K75.9, M00-M25
DIB006689	UP-116-77	Thromboembolism	437.6, 453, 671.5, 671.9	I80-I82
DIB006691	MBS-101	Infectious disease	001-139	A00-B99
DIB006692	CureXcell	Diabetic foot ulcer	707	L88-L89
DIB006693	JIN-2013	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
DIB006695	EV71 vaccine	Enterovirus infection	001-139	A00-B99
DIB006696	GASTRAZOLE	Duodenal ulcer	.	K25-K27
DIB006698	Recombinant therapeutic proteins	Cancer	140-229	C00-C96
DIB006699	Fully-deleted adenoviral vector-based immunosuppressants	Factor VIII deficiency	.	D66
DIB006701	ANA-011	Cancer	140-229	C00-C96
DIB006702	Loxoprofen gel	Inflammatory diseases	140-229, 147, 173, 573.3, 710-719	C00-C96, C11, C44, K75.9, M00-M25
DIB006703	WSS-45	Dengue virus infection	001-139, 042-075, 061	A00-B99, A80-A99, A90, B00-B34
DIB006705	Preeclampsia diagnostic/treatment	Pre-eclampsia	642.4-642.7	O11, O14
DIB006709	AGX-51	Cancer	140-229	C00-C96
DIB006710	MB-311	Cancer	140-229	C00-C96
DIB006713	NO-antihypertensives	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
DIB006714	Long-acting FSH conjugate	Female infertility	628	N97.0
DIB006716	Efaproxyn	Lung cancer	162	C33-C34
DIB006717	OSL-95II	Viral infections	054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053	B01, B02, A60, B00, B27, G05.1, P35.2
DIB006718	AbGn-150	Multiple myeloma	203.0, 208.9	C90.0, C91-C95
DIB006719	KUR-521	Back pain	724.5,338,780	M54, G89, R52
DIB006721	KI-0003	Cancer	140-229	C00-C96
DIB006722	MEN-10627	Asthma	493	J45
DIB006723	L-698544	Alzheimer's disease	331.0, 331.83	G30, G31.84
DIB006724	Frakefamide	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DIB006725	PDC-748	Cough	786.2	R05
DIB006726	SA-237	Rheumatold arthritis	714	M05-M06
DIB006728	NHS-IL 12	Cancer	140-229	C00-C96
DIB006730	LV305	Breast cancer; Malignant melanoma; NSCLC	.	C50,C43,C33-C34
DIB006732	HCV NS3 protease inhibitors	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DIB006733	Droxinavir hydrochloride	HIV infections	001-139, 042	A00-B99, B20
DIB006734	FPL-62064	Inflammation	.	E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, R52, G89
DIB006735	Myrrhanol A	Inflammatory diseases	140-229, 147, 173, 573.3, 710-719	C00-C96, C11, C44, K75.9, M00-M25
DIB006736	SOM-0003	Viral infections	054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053	B01, B02, A60, B00, B27, G05.1, P35.2
DIB006738	BF-388	Inflammatory diseases	140-229, 147, 173, 573.3, 710-719	C00-C96, C11, C44, K75.9, M00-M25
DIB006739	Nov-038	Inflammatory diseases	140-229, 147, 173, 573.3, 710-719	C00-C96, C11, C44, K75.9, M00-M25
DIB006740	Sodium ferric gluconate complex	Iron deficiency anaemia	.	D50
DIB006741	CT-120	Influenza virus infections	487, 488	J10, J11
DIB006743	CD-832	Angina	413	I20
DIB006745	PRX-12261	Neurological disease	338, 338.2, 410, 782.3,780	I21, I22, R52, R52.1-R52.2, R60.9, G89
DIB006746	Debrase	Diabetic retinopathy	250.5	H36, E10.3, E11.3, E13.3
DIB006747	INTERCEPT	Infectious and parasitic disease	.	A00-B99
DIB006748	DDD-64558	Trypanosomiasis	086.5-086	B56-B57
DIB006749	Tuberculin	Mycobacterium tuberculosis infection	.	A15-A19
DIB006750	TG-D	Bone disease	.	M00-M99
DIB006751	AZD-3161	Peripheral neuropathy	.	G64
DIB006753	CMET Avimer polypeptides	Cancer	140-229	C00-C96
DIB006754	D-699126	Cancer	140-229	C00-C96
DIB006755	Epstein Barr-based gene therapy	Cancer	140-229	C00-C96
DIB006756	Cu64-CNND1-L	Lung cancer	162	C33-C34
DIB006758	DeltaFLU	Influenza virus infections	487, 488	J10, J11
DIB006760	HD-003	Renal disease	.	N00-N29
DIB006762	ISIS-DMPK	Myotonic dystrophy	.	G71.1
DIB006764	Influsome-Vac	Influenza virus infections	487, 488	J10, J11
DIB006765	SB-247853	Anxiety disorder	300, 311	F32, F40-F42
DIB006766	Antiparasitic diamidines	Trypanosomiasis	086.5-086	B56-B57
DIB006768	FOZIVUDINE TIDOXIL	Human immunodeficiency virus infection	279.3	D84.9
DIB006769	Aom-0821	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
DIB006771	GPI-3000	Cerebrovascular ischaemia	434.91	I61-I63
DIB006772	BIA-13	Respiratory disorder	518.81	J96
DIB006773	IC-747	Psoriasis	696	L40
DIB006774	FCE-25876	Major depressive disorder	296.2, 296.3, 710.0	F32, F33, M32
DIB006775	EP-200	Cancer	140-229	C00-C96
DIB006776	Ipafricept	Ovarian cancer	140-229, 183, 185	C00-C96, C56, C61
DIB006777	GOVX-B11	HIV infections	001-139, 042	A00-B99, B20
DIB006778	APT-102	Cerebral infarction	.	I63
DIB006779	Celtura	Influenza virus infections	487, 488	J10, J11
DIB006780	MGCD516	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DIB006781	HuM-195-Ac-225	Acute myeloid leukemia	205.0, 238.7	C92.0, D46
DIB006783	Ibulocydine	Cancer	140-229	C00-C96
DIB006784	Maxy-10	Autoimmune diseases	279	D84.9, M35.9
DIB006788	GM-CSF-expressing oncolytic adenovirus	Cancer	140-229	C00-C96
DIB006789	MK-4074	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
DIB006790	PC-213	HIV infections	001-139, 042	A00-B99, B20
DIB006795	ONO-8130	Pollakiuria	.	R35
DIB006797	Vitatropin	Growth disorder	.	E23.0
DIB006798	IKH-25	Cancer	140-229	C00-C96
DIB006799	Medi-NK	Lung cancer	162	C33-C34
DIB006802	DC-159a	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
DIB006803	FM-101	Multiple myeloma	203.0, 208.9	C90.0, C91-C95
DIB006804	CTCE-0324	Peripheral vascular disease	443.9	I73.9
DIB006811	HT-90B	Anxiety disorder	300, 311	F32, F40-F42
DIB006812	NRP290	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DIB006814	K-877	Lipid metabolism disorder	.	E75-E78
DIB006816	EPD-clofarabine	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
DIB006818	Bivigam	Immune disorder	.	D80-D89
DIB006819	PD-156	Inflammatory diseases	140-229, 147, 173, 573.3, 710-719	C00-C96, C11, C44, K75.9, M00-M25
DIB006820	ASP2215	Acute myeloid leukemia	205.0, 238.7	C92.0, D46
DIB006821	TIM ETEC vaccine	Diarrhea	787.91	A09, K59.1
DIB006822	Rhodamine-123	Prostate tumor	185	C61
DIB006823	AMT-050	Cholesterol metabolism disorder	.	E70-E88
DIB006824	DTP vaccine	Bordetella pertussis infection	.	A37.0
DIB006826	Berubicin	Cancer	140-229	C00-C96
DIB006827	S-12363	Cancer	140-229	C00-C96
DIB006828	AZD-7140	Chronic obstructive pulmonary disease; Rheumatoid arthritis	460-519, 490-492, 494-496, 710-719, 714	J00-J99, J40-J44, J47, M00-M25, M05-M06
DIB006829	LTA	Pain	338, 356.0, 356.8,780	G64, G90.0, R52, G89
DIB006830	CVT-E002	Viral infections	054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053	B01, B02, A60, B00, B27, G05.1, P35.2
DIB006831	Amyloid beta oligomers	Alzheimer's disease	331.0, 331.83	G30, G31.84
DIB006832	ViaScint	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
DIB006833	Multivalent (HIVIS 07) DNA vaccine Derma Vax/ZetaJet	HIV infections	001-139, 042	A00-B99, B20
DIB006834	NY-ESO-1 tumour vaccine	Lung cancer	162	C33-C34
DIB006835	Rubidium chloride Rb82	Coronary artery disease	410-414, 429.2	I20-I25
DIB006836	OCT-SG815	Arthritis	710-719	M00-M25
DIB006837	BIO-300	Cancers	140-239	C00-C96
DIB006840	ACY-001	Coronary ischemia	.	I25
DIB006842	MK-7246	Respiratory disease	.	J00-J99
DIB006843	CD45RB	Glioma	140-199, 183, 191, 210-229	C00-C75, C56, C71, C7A, C7B, D10-D36, D3A
DIB006844	Anti-HCV agent	Hepatitis C virus infection	070.4, 070.5, 070.70, 573.3	B17.1, B18.2, K75.9
DIB006845	Islet Neogenesis Therapy (I.N.T.)	Diabetes mellitus type 1	250	E10
DIB006846	Pumafentrine	Asthma	493	J45
DIB006847	Intanza	Influenza virus infections	487, 488	J10, J11
DIB006849	KLS-Npk	Parkinson's disease	332	F02.3, G20
DIB006852	LI 401	Gingivitis	.	K05.0-K05.1
DIB006853	447C88	Hyperlipidemia	272.0-272.4	E78
DIB006854	Titanocene dichloride	Cancer	140-229	C00-C96
DIB006855	Cannabinoid 1 antagonists	Obesity	278	E66
DIB006856	Cancer therapy, ProMediTech Inc	Cancer	140-229	C00-C96
DIB006857	KPPF-1	Ulcerative colitis	556	K51
