TTDTargetID	Target_Name	Indication	ICD9	ICD10
TTDR01107	Fanconi anemia group F protein	Oral cancer	140-146	C00-C08
TTDR01107	Fanconi anemia group F protein	Ovarian cancer	140-229, 183, 185	C00-C96, C56, C61
TTDR01108	Myeloid differentiation primary response protein MyD88	Inflammatory joint diseases	.	.
TTDR01108	Myeloid differentiation primary response protein MyD88	Rheumatoid arthritis	710-719, 714	M05-M06
TTDR01108	Myeloid differentiation primary response protein MyD88	Sepsis	995.0, 995.91	A40, A41, T78.2
TTDR01109	Lipopolysaccharide-binding protein	Inflammatory diseases	140-229, 147, 173, 573.3, 710-719	C00-C96, C11, C44, K75.9, M00-M25
TTDR01110	Dual specificity protein kinase TTK	Cancer	140-229	C00-C96
TTDR01111	Abeta-binding alcohol dehydrogenase	Alzheimer's disease	331.0, 331.83	G30, G31.84
TTDR01112	P-selectin glycoprotein ligand 1	Cutaneous vasculitis induced by immune complex deposition	446, 447.6	I77.6, I80, L95, M30-M31
TTDR01112	P-selectin glycoprotein ligand 1	IC-mediated diseases	.	.
TTDR01112	P-selectin glycoprotein ligand 1	Pulmonary fibrosis	515, 516.3	J84.1
TTDR01113	Diablo homolog, mitochondrial	Cancer	140-229	C00-C96
TTDR01114	Stanniocalcin 1	Breast cancer	174, 175, 217	C50, D24
TTDR01115	Cyclin E/cdk2	B-cell lymphoma	202.8	C85.1
TTDR01116	Ubiquitin carboxyl-terminal hydrolase 2	Prostate cancer	140-229, 185	C00-C96, C61
TTDR01117	Geminin	Tumors	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
TTDR01118	Transcription factor 7-like 2	Hepatocellular carcinoma	155	C22.0
TTDR01119	GPI transamidase component PIG-U	Bladder cancer	140-229, 188	C00-C96, C67
TTDR01120	Kallikrein 6	Inflammatory diseases	140-229, 147, 173, 573.3, 710-719	C00-C96, C11, C44, K75.9, M00-M25
TTDR01120	Kallikrein 6	Multiple sclerosis	340	G35
TTDR01121	Zinc finger protein 202	Atherosclerosis	414.0, 440	I70
TTDR01121	Zinc finger protein 202	Lipid metabolic disorders	270-279	E70-E89
TTDR01122	Mothers against decapentaplegic homolog 9	Breast cancer	174, 175, 217	C50, D24
TTDR01122	Mothers against decapentaplegic homolog 9	Colon cancer	153, 154	C18-C21
TTDR01123	Activation-inducible lymphocyte IMMUNOMEDIATORY molecule AILIM	Inflammatory bowel disease	555, 556	K50, K51
TTDR01124	Claudin-4	Pancreatic cancer	140-229, 157, 202.8, 203.0, 208.9	C00-C96, C25, C81-C96, C90.0, C91-C95
TTDR01125	Granulins	Prostate cancer	140-229, 185	C00-C96, C61
TTDR01126	C-Rel proto-oncogene protein	B-cell lymphoma	202.8	C85.1
TTDR01127	KSHV G protein-couple receptor	KSHV-mediated disease	.	.
TTDR01127	KSHV G protein-couple receptor	Kaposi's sarcoma	176	C46
TTDR01127	KSHV G protein-couple receptor	Primary effusion lymphoma	202.8	C81-C96
TTDR01128	Carcinoembryonic antigen-related cell adhesion molecule 6	Pancreatic adenocarcinoma	140-199	C00-C75, C7A, C7B
TTDR01128	Carcinoembryonic antigen-related cell adhesion molecule 6	Pancreatic cancer	140-229, 157, 202.8, 203.0, 208.9	C00-C96, C25, C81-C96, C90.0, C91-C95
TTDR01129	Protein tyrosine phosphatase short form	Cancer metastasis	140-229	C00-C96
TTDR01129	Protein tyrosine phosphatase short form	Colorectal cancer	153, 154	C18-C21
TTDR01130	Forkhead box protein M1	Hepatocellular carcinoma	155	C22.0
TTDR01131	Fibroleukin	Acute allograft rejection	996.8	T86
TTDR01132	Glucose 6-phosphate translocase	Non-insulin-dependent diabetes mellitus	250	E08-E13
TTDR01133	Ephrin type-B receptor 2	Colorectal cancer	153, 154	C18-C21
TTDR01134	Interferon regulatory factor 3	Septic shock	785.52	A41.9
TTDR01135	NGEP	Prostate cancer	140-229, 185	C00-C96, C61
TTDR01136	26S proteasome non-ATPase regulatory subunit 10	Hepatocellular carcinoma	155	C22.0
TTDR01137	17-beta-hydroxysteroid dehydrogenase 5	Prostate cancer	140-229, 185	C00-C96, C61
TTDR01138	Recoverin	Lung cancer	162	C33-C34
TTDR01139	Phosphoethanolamine N-methyltransferase	Malaria	84	B50-B54
TTDR01140	HIV-1 RNA	Human immunodeficiency virus infection	279.3	D84.9
TTDR01141	Ubiquitin carboxyl-terminal hydrolase isozyme L1	Parkinson's disease	332	F02.3, G20
TTDR01142	DNA-dependent protein kinase catalytic subunit	Leukemia	208.9	C91-C95
TTDR01143	Undecaprenyl pyrophosphate synthetase	Microbial infections	001-139	A00-B99
TTDR01144	Interleukin 11 receptor	Prostate cancer	140-229, 185	C00-C96, C61
TTDR01145	TRNA-dependent amidotransferase	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
TTDI01147	Adenine biosynthesis	Brain cancer	191, 225.0	C71, D33
TTDR01147	Transferrin receptor protein 1	Solid tumors	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
TTDR01148	Lactotransferrin	Osteoporosis	733.0, V07.4	M80-M81, Z79.890
TTDI01148	Virus DNA	Herpes simplex virus infection	54	B00
TTDI01149	Beta-hydroxybutyrate	Memory loss	.	F03
TTDR01149	Receptor-type protein-tyrosine phosphatase zeta	Glioblastoma multiforme	191	C71
TTDI01150	Prolonging and increasing the activation of HSF1	Amyotrophic lateral sclerosis	335.20, 434.91	G12.2, I61-I63
TTDR01150	Regenerating gene type IV 	Gastric cancer	140-229, 151, 188	C00-C96, C16, C67
TTDR01151	Heat shock protein 20	Heart failure	410, 428	I21, I22, I50
TTDI01151	Inhibiting HIV-1 attachment	HIV-1 infections	001-139, 042	A00-B99, B20
TTDR01152	Epstein-Barr virus (Strain FF41) nuclear antigen gene	EBV-related cancers	140-229	C00-C96
TTDI01152	Nuclear transcription mechanisms that govern and regulate inflammation	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
TTDR01153	Complement C3	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
TTDI01153	HIV replication early phase	Acquired immune deficiency syndrome	42	B20
TTDI01154	Hydroxyapatite	Osteoporosis	733.0, V07.4	M80-M81, Z79.890
TTDR01154	Seprase	Atherogenesis	440	I70
TTDR01154	Seprase	Inflammatory diseases	140-229, 147, 173, 573.3, 710-719	C00-C96, C11, C44, K75.9, M00-M25
TTDR01154	Seprase	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
TTDI01155	Inhibiting both TNF-alpha and IL-1 beta production	Arthritic	710-719	M00-M25
TTDR01155	Teratocarcinoma-derived growth factor 1	Cancer	140-229	C00-C96
TTDR01156	Histone deacetylase 2	Colon cancer	153, 154	C18-C21
TTDI01156	Inhibiting IL-1 synthesis and/or release	Asthma	493	J45
TTDI01157	Inhibiting the induction of nitric oxide synthase	Postoperative pain	.	G89
TTDR01157	Probable nicotinate-nucleotide adenylyltransferase	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
TTDR01158	Homeobox protein Hox-A7	Myeloid leukemia	208.9	C91-C95
TTDI01158	Micelle	Otitis media	.	H65-H67
TTDI01158	Micelle	Ulcer	531-534	K25-K27
TTDR01159	Low-density lipoprotein receptor-related protein 1	Proliferative vitreoretinopathy	.	.
TTDI01159	Mitochondrial gene transcription	Cancer	140-229	C00-C96
TTDI01160	Calcium flux	Inflammation	.	E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, R52, G89
TTDR01160	Transient receptor potential cation channel subfamily V member 4	Analgesics	338	R52
TTDR01160	Transient receptor potential cation channel subfamily V member 4	Neuropathic pain	356.0, 356.8	G64, G90.0
TTDI01161	Reactive oxygen species	Amyotrophic lateral sclerosis	335.20, 434.91	G12.2, I61-I63
TTDI01161	Reactive oxygen species	Asthma	493	J45
TTDR01161	Toxopain-1	Parasitic diseases	.	.
TTDI01162	Histamine and peptide leukotrienes release	Asthma	493	J45
TTDR01162	mRNA of platelet-derived growth factor receptor beta subunit	Liver fibrosis	571	K70.3, K71.7, K74
TTDR01163	GABA transporter-3	Neurological diseases	320-359	G00-G99
TTDI01163	Lipid peroxidation	Ischemia	459.89	I99.8
TTDI01163	Lipid peroxidation	Neurological disease	338, 338.2, 410, 782.3,780	I21, I22, R52, R52.1-R52.2, R60.9, G89
TTDI01164	IFN-gamma production	Inflammatory bowel disease	555, 556	K50, K51
TTDR01164	Proprotein convertase subtilisin/kexin type 9	Dyslipidemia	272	E78
TTDR01165	Platelet-activating factor receptor	Ocular allergy	360-379	H00-H59
TTDR01166	Chitin synthase 1	Fungal diseases	110-118	B35-B49
TTDI01166	Inducing a significant increase in cyclic AMP level	Cognition disorders	295	F20
TTDI01167	P-glycoprotein mediated multidrug resistance	Cancer	140-229	C00-C96
TTDI01168	Release of ACh	Inflammation	.	E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, R52, G89
TTDR01169	DNA topoisomerase 4 subunit A	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
TTDI01169	Histamine release	Asthma	493	J45
TTDI01170	IgE-mediated histamine release	Asthma	493	J45
TTDR01170	Integrin beta-2	Ischemic stroke	434.91	I61-I63
TTDR01171	Hypoxia-inducible gene DDIT4	Diabetic macular oedema	362.07	E08.3, E09.3, E10.3, E11.3, E13.3
TTDI01171	Leukotriene biosynthesis	Asthma	493	J45
TTDI01172	Potential penetration	Ophthalmic disease	.	H00-H59
TTDR01172	mRNA of thymidylate synthase	Cancer	140-229	C00-C96
TTDI01173	Uptake of luminal sterol across the microvillus membrane	Hyperlipidemia	272.0-272.4	E78
TTDR01173	mRNA of MCL-1	Systemic mastocytosis	202.6, 757.33	C96.2, Q82.2
TTDI01174	HBV protein priming reaction and the packaging reaction	Viral infections	054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053	B01, B02, A60, B00, B27, G05.1, P35.2
TTDR01174	mRNA of Tumour protein p53	Acute kidney injury	584	N17
TTDI01175	Potentiating dexamethasone-induced GR transcriptional activity	Cancer	140-229	C00-C96
TTDR01175	mRNA of HIV-1 Gag	AIDS	42	B20
TTDI01176	Ca2+ dependent or involving processes	Cognition disorders	295	F20
TTDR01176	Respiratory syncytial virus genomic RNA	Upper and lower respiratory tract disease	460-519	J00-J99
TTDI01177	Coccidia schizogony and gametogony processes	Isosporiasis	.	A07.3
TTDR01177	Gamma-aminobutyric-acid receptor alpha-2 subunit	Anxiety disorders	300	F40-F42
TTDR01177	Gamma-aminobutyric-acid receptor alpha-2 subunit	Disorders of initiating and maintaining sleep	710	M32
TTDI01178	Cyclin D1 synthesis	Hematopoietic	.	D50-D89
TTDR01178	Gamma-aminobutyric-acid receptor alpha-3 subunit	Anxiety disorders	300	F40-F42
TTDR01178	Gamma-aminobutyric-acid receptor alpha-3 subunit	Disorders of initiating and maintaining sleep	710	M32
TTDI01179	DNA synthesis	Cancer	140-229	C00-C96
TTDI01179	DNA synthesis	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
TTDR01179	Sodium- and chloride-dependent GABA transporter 1	Convulsions	780.3	R56.0
TTDR01179	Sodium- and chloride-dependent GABA transporter 1	Psychosis	290-299	F20-F29
TTDR01180	Alpha-2C adrenergic receptor	Neuropsychiatric disorders	.	.
TTDR01180	Alpha-2C adrenergic receptor	Raynaud's syndrome	443	I73.0
TTDI01180	Downregulating angiotensin II-induced endothelin-1 gene expression	Neurological disease	338, 338.2, 410, 782.3,780	I21, I22, R52, R52.1-R52.2, R60.9, G89
TTDI01181	Histone synthesis	Cancer	140-229	C00-C96
TTDR01181	Plasma membrane H(+)-ATPase	Fungal diseases	110-118	B35-B49
TTDR01182	3-oxo-5-alpha-steroid 4-dehydrogenase 1	Acne vulgaris	706.1	L70.0
TTDR01182	3-oxo-5-alpha-steroid 4-dehydrogenase 1	Alopecia	704.09	L65.9
TTDR01182	3-oxo-5-alpha-steroid 4-dehydrogenase 1	Benign prostatic hyperplasia	600	N40
TTDR01182	3-oxo-5-alpha-steroid 4-dehydrogenase 1	Hirsutism	704.1	L68.0
TTDR01182	3-oxo-5-alpha-steroid 4-dehydrogenase 1	Prostate cancer	140-229, 185	C00-C96, C61
TTDI01182	Inhibit the formation of beta-hematin by forming a complex with hemin	Plasmodium infection	.	B54
TTDR01183	3-oxo-5-alpha-steroid 4-dehydrogenase 2	Alopecia	704.09	L65.9
TTDR01183	3-oxo-5-alpha-steroid 4-dehydrogenase 2	Androgen-dependent diseases	.	.
TTDR01183	3-oxo-5-alpha-steroid 4-dehydrogenase 2	Benign prostatic hyperplasia	600	N40
TTDR01183	3-oxo-5-alpha-steroid 4-dehydrogenase 2	Prostate cancer	140-229, 185	C00-C96, C61
TTDI01183	Progesterone	Contraception	.	Z30
TTDR01184	Acetaldehyde dehydrogenase	Alcoholism	303	F10.2
TTDI01184	Prostaglandin metabolism	Cancer	140-229	C00-C96
TTDR01185	Aldehyde dehydrogenase, mitochondrial	Alcoholism	303	F10.2
TTDI01185	Superoxide anion	Neurological disease	338, 338.2, 410, 782.3,780	I21, I22, R52, R52.1-R52.2, R60.9, G89
TTDR01186	Betaine aldehyde dehydrogenase	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
TTDI01186	Second phase insulin secretion	Restenosis	.	I51.89
TTDR01187	Dihydropyrimidine dehydrogenase [NADP+]	Lung cancer	162	C33-C34
TTDI01187	Plasmodial phospholipid metabolism	Plasmodium falciparum infection	.	B54
TTDI01188	Bacterial protein synthesis	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
TTDI01188	Bacterial protein synthesis	Pneumonia	.	J12,J13,J14,J15,J16,J17,J18
TTDI01188	Bacterial protein synthesis	Tuberculosis	010-018	A15-A19
TTDR01188	Corticosteroid receptor	Affective disorders	296	F30-F39
TTDI01189	Cell mediated immunity response	Bordetella pertussis infection	.	A37.0
TTDI01189	Cell mediated immunity response	HIV infection	001-139, 042	A00-B99, B20
TTDI01189	Cell mediated immunity response	HIV-1 infections	001-139, 042	A00-B99, B20
TTDI01189	Cell mediated immunity response	Hepatitis B virus infection	070.2-070.3	B16, B18.0, B18.1
TTDI01189	Cell mediated immunity response	Hepatitis E virus infection	.	B17.2
TTDI01189	Cell mediated immunity response	Infectious disease	001-139	A00-B99
TTDI01189	Cell mediated immunity response	Influenza virus infections	487, 488	J10, J11
TTDI01189	Cell mediated immunity response	Leishmania infection	.	B55.0
TTDI01189	Cell mediated immunity response	Plasmodium malariae infection	.	B50
TTDI01189	Cell mediated immunity response	Vaccination	.	.
TTDR01189	Corticosteroid receptor type I	Endocrine disorder	.	.
TTDR01190	Corticosteroid receptor type II	Endocrine disorder	.	.
TTDI01190	JAK-2/STAT-1 pathway	Cancer	140-229	C00-C96
TTDR01191	Retinoic acid receptor beta	Pancreatic cancer	140-229, 157, 202.8, 203.0, 208.9	C00-C96, C25, C81-C96, C90.0, C91-C95
TTDR01192	DNA topoisomerase II, beta isozyme	Cancer	140-229	C00-C96
TTDI01192	Phospholipids in bacterial cell membrane	Bacterial infection	001-009, 001-139, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A00-B99, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
TTDR01193	Histamine H4 receptor	Allergic diseases	995.3	T78.4
TTDR01193	Histamine H4 receptor	Allergy	995.3	T78.4
TTDR01193	Histamine H4 receptor	Asthma	493	J45
TTDI01193	Tumour metastasis	Solid tumours	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
TTDR01194	5-hydroxytryptamine 1F receptor	Migraine	346	G43
TTDI01195	Cell cycle	Cancer	140-229	C00-C96
TTDR01195	Serotonin transporter	Depression	311	F32
TTDR01196	P2Y purinoceptor	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
TTDR01196	P2Y purinoceptor	Liver fibrosis	571	K70.3, K71.7, K74
TTDR01196	P2Y purinoceptor	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
TTDI01197	Signal transduction	Cancer	140-229	C00-C96
TTDI01197	Signal transduction	Leishmania infection	.	B55.0
TTDR01197	Thyrotropin-releasing hormone receptor	Alcohol dependence	303	F10.2
TTDR01197	Thyrotropin-releasing hormone receptor	Anxiety disorders	300	F40-F42
TTDI01198	Intracellular signaling, damage sensing, and DNA repair pathways responsible for DNA damage	Radiation sickness	990	T66
TTDR01198	Potassium channel subfamily K member 9	Cancer	140-229	C00-C96
TTDR01199	K-Cl cotransporter 3	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
TTDI01199	Tumorigenesis	Prostate tumor	185	C61
TTDR01200	Cystine/glutamate transporter	Lymphoma	202.8, 208.9	C81-C96, C91-C95
TTDI01201	Inhibiting sodium/calcium ion exchange	Cerebral infarction	.	I63
TTDR01201	Pyridoxal kinase	Asthma	493	J45
TTDR01201	Pyridoxal kinase	Korsakov's alcoholic psychosis	290-299	F20-F29
TTDR01201	Pyridoxal kinase	Vitamin B6 deficiency	266.1	E53.1
TTDI01202	Fungal mitochondrial membrane	Mycoses	.	B49
TTDR01202	Inositol-1(or 4)-monophosphatase	Bipolar affective disorder	296.0, 296.1, 296.4, 296.5, 296.6, 296.7, 296.8	F31
TTDI01203	Ergosterol synthesis	Fungal infection	110-118	B35-B49
TTDR01203	Soluble epoxide hydrolase	Cardiovascular disease	325, 390-459, 401, 428, 430-459	G45-G46, I00-I99, I10, I11, I12, I13, I15, I50, I60-I95
TTDR01203	Soluble epoxide hydrolase	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
TTDR01203	Soluble epoxide hydrolase	Renal diseases	580-599	N00-N39
TTDR01204	Carboxypeptidase A	Arthritis	710-719	M00-M25
TTDR01204	Carboxypeptidase A	Cancer	140-229	C00-C96
TTDR01204	Carboxypeptidase A	Heart disease	390-429	I00-I52
TTDI01204	Improve mitochondrial function	Motor neurone disease	335.2	G12.2
TTDR01205	Leukotriene E4 receptor	Asthma	493	J45
TTDR01206	Inhibitor of nuclear factor kappa B kinase beta subunit	Asthma	493	J45
TTDR01206	Inhibitor of nuclear factor kappa B kinase beta subunit	Autoimmune diseases	279	D84.9, M35.9
TTDR01206	Inhibitor of nuclear factor kappa B kinase beta subunit	Fibrosing alveolitis	516.3	J84.1
TTDR01206	Inhibitor of nuclear factor kappa B kinase beta subunit	Inflammation	.	E08-E13, E10.2, E11, E11.2, E13.2, I73.9, I80-I82, N00-N29, R52, G89
TTDR01206	Inhibitor of nuclear factor kappa B kinase beta subunit	Inflammatory lung disease	.	.
TTDR01206	Inhibitor of nuclear factor kappa B kinase beta subunit	Rheumatoid arthritis	710-719, 714	M05-M06
TTDR01206	Inhibitor of nuclear factor kappa B kinase beta subunit	Transplant failure or rejection	.	.
TTDR01207	Endothelin receptor	Diabetes mellitus	253.5, 588.1	E23.2, N25.1
TTDR01207	Endothelin receptor	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
TTDR01208	RNase P RNA	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
TTDI01209	Hydroxy radical	Renal disease	.	N00-N29
TTDR01209	Probable arabinosyltransferase A	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
TTDR01210	Probable arabinosyltransferase B	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
TTDR01211	Arylamine N-acetyltransferase	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
TTDR01211	Arylamine N-acetyltransferase	Tuberculosis	010-018	A15-A19
TTDR01212	Malonyl-CoA:acyl carrier protein transacylase	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
TTDR01212	Malonyl-CoA:acyl carrier protein transacylase	Tuberculosis	010-018	A15-A19
TTDR01213	DNA helicase	Breast cancer	174, 175, 217	C50, D24
TTDR01214	Ephrin type-A receptor 2	Breast cancer	174, 175, 217	C50, D24
TTDR01214	Ephrin type-A receptor 2	Cancer	140-229	C00-C96
TTDR01214	Ephrin type-A receptor 2	HCV infection	070.4, 070.5, 070.70	B17.1, B18.2
TTDR01214	Ephrin type-A receptor 2	Pancreatic cancer	140-229, 157, 202.8, 203.0, 208.9	C00-C96, C25, C81-C96, C90.0, C91-C95
TTDR01215	Microtubular protein	Cancer	140-229	C00-C96
TTDR01216	Platelet-derived growth factor	Cancer	140-229	C00-C96
TTDR01217	Beta platelet-derived growth factor receptor	Chronic myeloproliferative diseases	205.1, 238.4, 289.89, 289.9	D47.1
TTDR01217	Beta platelet-derived growth factor receptor	Ewing's sarcoma	170	C41
TTDI01217	Chaperonin	Cerebrovascular ischaemia	434.91	I61-I63
TTDR01218	BCR/ABL protein	Cancer	140-229	C00-C96
TTDR01218	BCR/ABL protein	Chronic myelogenous leukemia	205.1, 208.9	C91-C95, C92.1
TTDR01218	BCR/ABL protein	Chronic myeloid leukemia	205.1	C92.1
TTDI01218	Microbial membrane	Hypertriglyceridemia	272.1, 427	E78.1, E78.2, E78.3, I47-I49
TTDI01219	Cytochrome P-450-dependent ergosterol synthesis	Fungal infections	110-118	B35-B49
TTDR01219	FIP1L1-PDGFRalpha kinase	Chronic eosinophilic leukemia	208.9	C91-C95
TTDR01219	FIP1L1-PDGFRalpha kinase	Hypereosinophilic syndrome	288.3	D72.1
TTDR01220	D1 dopamine receptor-interacting protein calcyon	Cocaine dependence	304.2, 311	F14.2, F32
TTDR01220	D1 dopamine receptor-interacting protein calcyon	Erectile dysfunction	302.72, 607.84	F52.2, N48.4
TTDR01220	D1 dopamine receptor-interacting protein calcyon	Neuroleptic malignant syndrome	.	.
TTDR01220	D1 dopamine receptor-interacting protein calcyon	Respiratory diseases	.	.
TTDR01220	D1 dopamine receptor-interacting protein calcyon	Treatment-refractory psychoses	290-299	F20-F29
TTDI01220	Free radicals	Ischemia	459.89	I99.8
TTDR01221	Growth-arrest-specific protein 6	Endocrine disorder	.	.
TTDI01221	JAK-STAT pathway	Cancer	140-229	C00-C96
TTDI01222	Cytomegalovirus (CMV) replication	Viral infections	054.0, 054.1, 054.2, 054.3, 075, 771.2, 052, 053	B01, B02, A60, B00, B27, G05.1, P35.2
TTDR01222	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	Excessive collagen deposition	.	.
TTDR01222	Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1	Proliferative vitreoretinopathy	.	.
TTDI01223	Mast cell degranulation	Asthma	493	J45
TTDR01223	Preadipocyte factor	Eye inflammation	360-379	H00-H59
TTDR01224	Carbonic anhydrase I	Glaucoma	365	H40-H42
TTDR01224	Carbonic anhydrase I	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
TTDR01224	Carbonic anhydrase I	Pancreatic cancer	140-229, 157, 202.8, 203.0, 208.9	C00-C96, C25, C81-C96, C90.0, C91-C95
TTDR01225	HIV aspartyl protease	Human immunodeficiency virus infection	279.3	D84.9
TTDR01225	HIV aspartyl protease	Retrovirus infections	001-139	A00-B99
TTDR01226	DNA-dependent DNA polymerase	Human immunodeficiency virus infection	279.3	D84.9
TTDR01227	Thyroid hormone receptor beta-1	Hyperlipidemia	272.0-272.4	E78
TTDR01227	Thyroid hormone receptor beta-1	Obesity	278	E66
TTDR01227	Thyroid hormone receptor beta-1	Thyroid hormone resistance syndrome	.	.
TTDR01227	Thyroid hormone receptor beta-1	Thyrotoxicosis hyperthyroidism	242.9	E05
TTDI01228	Bone metabolism	Inflammatory diseases	140-229, 147, 173, 573.3, 710-719	C00-C96, C11, C44, K75.9, M00-M25
TTDR01228	Sulfonylurea receptor 2B 	Hypertension	401, 428	I10, I11, I12, I13, I15, I50
TTDR01229	5'-Nucleotidase	Immune disease	.	.
TTDR01230	Cytochrome B	Malaria	84	B50-B54
TTDI01230	Ganglioside GD2	Melanoma	172.9	C43
TTDI01231	Galactose oligosaccharides and glycolipids	Fabry disease	272.7	E75.2
TTDR01231	Haem polymerase	Malaria	84	B50-B54
TTDR01232	Glutathione reductase, mitochondrial	Malaria	84	B50-B54
TTDR01232	Glutathione reductase, mitochondrial	Parasitic diseases	.	.
TTDI01232	Replacing the 17 beta-estradiol and progesterone hormones the body has stopped producing as the result of menopause	Endometriosis	617	N80
TTDR01233	Tissue-type plasminogen activator	Neurological diseases	320-359	G00-G99
TTDR01234	Granulocyte colony-stimulating factor	Neutropenia	288	D70
TTDI01234	Viral maturaton	HIV infections	001-139, 042	A00-B99, B20
TTDR01235	Catecholamine uptake	Obesity	278	E66
TTDI01235	Gene thrapy-delivered myostatin	Macular degeneration	362.5	H35.3
TTDI01236	AE-H	HIV infections	001-139, 042	A00-B99, B20
TTDR01236	Sulfonylurea receptor 1	Obesity	278	E66
TTDI01237	Hormone	Inflammatory bowel disease	555, 556	K50, K51
TTDI01237	Hormone	Multiple sclerosis	340	G35
TTDI01237	Hormone	Testosterone deficiency	.	E29.1
TTDR01237	Major prion protein	Prion diseases	.	.
TTDI01238	Cell differentiation	Hematological malignancies	200-209	C81-C96
TTDR01238	Tumor necrosis factor receptor superfamily member 1B	Rheumatoid arthritis	710-719, 714	M05-M06
TTDR01239	Cholinergic receptor	Muscle contraction	.	.
TTDR01239	Cholinergic receptor	Schizophrenia	295, 710.0	F20, M32
TTDI01239	Galectin	Chronic kidney disease	403, 585.1-585.5, 585.9	N18
TTDI01239	Galectin	Fibrosis	709.2	L90.5
TTDR01240	Glycinamide ribonucleotide formyltransferase	Solid tumors	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
TTDI01240	Viral matration	HIV-1 infections	001-139, 042	A00-B99, B20
TTDI01241	HV MAG pDNA	HIV infections	001-139, 042	A00-B99, B20
TTDR01241	Tyrosine kinase	Solid tumors	140-199, 210-229	C00-C75, C7A, C7B, D10-D36, D3A
TTDR01242	Fibrin	Myocardial infarction	410, 434.91	I21, I22, I61-I63
TTDR01242	Fibrin	Thrombosis	437.6, 453, 671.5, 671.9	I80-I82
TTDI01242	mRNA of HBV	Hepatitis B virus infection	070.2-070.3	B16, B18.0, B18.1
TTDR01243	Cytochrome p450 121	Tuberculosis	010-018	A15-A19
TTDI01243	Pseudomonas aeruginosa Psl exopolysaccharide	Pseudomonas infection	041.7, 482.1	B96.5, J15.1, P23.5
TTDR01244	24:1 cis-5 elongase 	Tuberculosis	010-018	A15-A19
TTDI01244	microbiome	Type 2 diabetes	250.00, 250.02	E11
TTDR01245	3-oxoacyl-[acyl-carrier-protein] synthase 1	Bacterial infections	001-009, 010-018, 020-027, 030-041, 080-088, 090-099, 100-104	A00-A09, A15-A19, A20-A28, A30-A49, A65-A69, A70-A74, A75-A79
TTDR01245	3-oxoacyl-[acyl-carrier-protein] synthase 1	Tuberculosis	010-018	A15-A19
TTDI01245	meningococcal groups ACWY conjugate	Meningococcal infections	36.9	A39
